observation_date,AKNGSP_PC1_20220930,ALNGSP_PC1_20220930,ARNGSP_PC1_20220930,CANGSP_PC1_20220930,CONGSP_PC1_20220930,CTNGSP_PC1_20220930,FLNGSP_PC1_20220930,GANGSP_PC1_20220930,HINGSP_PC1_20220930,IANGSP_PC1_20220930,ILNGSP_PC1_20220930,INNGSP_PC1_20220930,KSNGSP_PC1_20220930,KYNGSP_PC1_20220930,LANGSP_PC1_20220930,MANGSP_PC1_20220930,MDNGSP_PC1_20220930,MENGSP_PC1_20220930,MINGSP_PC1_20220930,MNNGSP_PC1_20220930,MSNGSP_PC1_20220930,MTNGSP_PC1_20220930,NCNGSP_PC1_20220930,NENGSP_PC1_20220930,NHNGSP_PC1_20220930,NJNGSP_PC1_20220930,NYNGSP_PC1_20220930,OHNGSP_PC1_20220930,OKNGSP_PC1_20220930,ORNGSP_PC1_20220930,PANGSP_PC1_20220930,RINGSP_PC1_20220930,SCNGSP_PC1_20220930,SDNGSP_PC1_20220930,TNNGSP_PC1_20220930,TXNGSP_PC1_20220930,UTNGSP_PC1_20220930,VANGSP_PC1_20220930,VTNGSP_PC1_20220930,WANGSP_PC1_20220930,WINGSP_PC1_20220930,WVNGSP_PC1_20220930,WYNGSP_PC1_20220930
1997-01-01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1998-01-01,-6.1,5.15218,4.26158,7.13306,9.81112,5.16418,6.87439,9.40312,-0.22409,2.32542,5.0615,8.17212,4.98203,4.6258,3.34003,5.0709,6.65738,5.02247,4.29274,6.7498,4.43458,5.90294,5.53808,4.02034,6.14396,3.91278,3.71279,5.30175,2.72315,4.19364,4.69498,6.53224,6.19071,6.28803,8.42876,5.73382,7.99546,7.56958,4.05055,8.21108,5.98155,3.19025,1.26719
1999-01-01,2.1,4.96144,7.07505,8.22463,8.93587,4.68258,6.7392,8.98472,3.63529,3.70776,5.44338,4.76649,4.46761,5.23348,4.66663,6.15542,6.0474,7.01886,8.19484,5.30512,4.82209,1.87527,7.48725,3.59518,3.45515,5.06582,6.67035,4.09998,3.72797,2.35357,4.59354,4.70075,6.55871,4.20504,5.30919,5.38295,5.97662,7.95954,6.81687,9.56265,5.91282,4.2477,5.65693
2000-01-01,8.3,3.60615,2.79474,9.2661,9.95333,8.75108,7.06697,5.66556,5.40181,6.07138,5.79659,5.51589,5.14778,-0.81455,5.43172,9.12417,6.52374,7.19811,4.09089,8.96436,2.80859,5.11479,4.76035,5.29438,8.07242,7.42133,5.77837,4.20012,8.15683,8.85799,4.66675,6.81683,4.60706,7.89707,3.38395,8.64969,6.4778,7.47387,6.77771,3.29868,4.7631,1.87298,9.39304
2001-01-01,6.3,2.55633,2.82214,1.3844,3.68348,3.38274,5.83749,3.89548,3.62218,1.85347,2.98517,0.81933,3.23418,3.04697,3.9659,2.79707,7.26981,4.65,-0.64364,2.34504,2.28541,4.43806,3.61895,5.44814,3.25416,3.5159,4.41822,1.1898,6.54896,-0.16303,4.38672,4.05027,3.60517,2.94065,2.30132,4.69738,3.92868,6.39362,5.35464,0.43829,4.28749,3.4773,9.0704
2002-01-01,4.4,3.73387,4.95237,3.10143,1.78001,1.18663,6.54101,3.01623,4.83452,3.92164,2.55373,3.58537,3.03836,4.06926,1.37758,1.67337,5.75592,4.81924,3.937,3.93238,3.10522,4.79044,3.39394,3.03671,4.78966,3.32742,1.35614,3.54961,2.4929,3.165,3.2458,5.42735,4.50777,12.42947,5.0005,2.12602,3.74951,3.40286,4.91533,3.17085,3.45216,3.65563,2.44437
2003-01-01,7.7,5.2136,6.1813,5.60402,3.21415,3.14803,6.77615,4.74693,7.88882,6.66244,3.62807,5.9223,4.12265,4.53047,10.93806,3.09843,5.10574,4.56925,2.89099,5.89454,6.78892,7.40453,4.21106,8.11628,5.25419,3.8464,2.49551,3.10088,6.26694,4.9774,4.37645,4.83692,5.36792,3.39639,4.78233,5.51073,4.15386,5.52216,5.03231,3.8181,4.45929,3.20113,10.58146
2004-01-01,10.2,10.10983,8.26544,6.02561,4.09975,9.31869,9.50874,6.482,8.69367,11.47719,5.63547,6.34347,3.90426,5.89699,10.26079,4.99649,7.06029,6.84104,3.05924,7.20618,5.457,9.51044,6.27922,6.12496,6.35312,3.45746,5.9922,5.2964,7.71926,7.08549,5.87383,6.87699,4.11617,7.55141,6.92329,9.61215,9.03979,6.56133,7.72547,5.09382,5.99879,5.743,10.54941
2005-01-01,14.3,7.53585,6.67621,6.95029,8.13867,5.04707,9.15844,6.78644,9.58083,5.122,4.751,3.51496,6.50293,6.99613,16.71788,4.66923,6.92526,4.13294,3.7985,6.10264,5.70592,9.64223,7.75763,5.81148,3.70442,5.03511,5.05459,5.07956,9.8423,5.7952,5.01231,4.74508,6.14796,5.8969,5.61059,8.95599,10.77253,7.81494,2.92264,9.42613,5.45609,7.5412,17.69956
2006-01-01,11.7,4.79846,5.48743,6.69094,5.37313,7.09199,6.32879,4.23012,6.0609,3.8196,5.83764,4.60663,8.11703,5.7908,4.09785,5.0518,4.59569,4.17792,0.39976,2.81824,5.6411,7.41778,9.01773,5.69882,5.38061,5.01596,5.8184,2.95303,9.87747,7.0277,3.81894,6.37827,5.6698,4.41037,5.15918,10.84601,11.7269,5.07331,3.06202,7.01086,4.51933,6.57569,18.72623
2007-01-01,10.0,3.90836,2.61434,4.78377,6.79133,6.72176,4.28883,3.34733,5.45159,7.84534,4.14939,5.35691,8.578,2.44791,-2.27786,5.35784,3.21738,2.88284,1.92759,3.87133,4.69796,9.2477,3.60387,6.37071,2.941,3.77514,4.11354,3.11212,6.0505,3.90128,6.50468,0.28896,5.92173,8.36874,2.09722,7.96734,7.76827,4.11022,1.91603,8.83299,3.48117,3.97036,12.8603
2008-01-01,11.2,0.89672,1.347,2.41157,4.19615,1.87434,-2.47486,-0.76946,2.36053,-0.27673,0.69404,0.74191,3.8147,1.73074,4.60567,3.23875,4.39439,0.50318,-4.68598,2.04435,3.64409,2.73699,4.30956,2.13897,-0.13256,4.49795,-0.24929,-0.16918,10.29941,3.3463,3.92215,-0.13371,0.70042,4.36233,2.23151,4.46664,2.0603,3.3023,4.84561,3.73362,0.3966,5.77206,15.88193
2009-01-01,-9.4,-2.06009,-2.20517,-2.80401,-2.95281,-2.36301,-3.65767,-1.62996,-1.71823,-0.4754,-0.73241,-4.43201,-2.53133,-1.50359,-3.52437,-0.07001,1.25338,0.80965,-5.5548,-1.99375,-2.8803,-2.78604,-1.82372,1.45093,1.33338,-2.7746,3.89492,-2.94581,-8.78973,-3.22455,-0.99992,0.89831,-1.26472,-0.46472,-0.75094,-6.00237,-2.72532,1.56499,0.38424,-1.00033,0.16024,1.44494,-15.33724
2010-01-01,6.8,3.69641,4.08007,3.38207,2.81518,0.6041,1.5648,2.07536,3.59909,3.9003,2.54548,7.30476,2.5867,5.66987,9.95672,5.28324,5.22416,2.21502,5.77902,4.63293,2.34323,5.93653,2.15777,5.40011,3.71176,2.13562,5.46931,3.78082,5.22011,2.83815,3.88082,3.70234,2.50072,3.89648,2.15715,6.52798,4.10965,3.89934,5.00935,4.05779,3.7308,3.7704,3.94102
