observation_date	WYNGSP_PC1_20150610	WYNGSP_PC1_20160115	WYNGSP_PC1_20160614	WYNGSP_PC1_20161207	WYNGSP_PC1_20170511	WYNGSP_PC1_20180504	WYNGSP_PC1_20181114	WYNGSP_PC1_20190501	WYNGSP_PC1_20191107	WYNGSP_PC1_20200407	WYNGSP_PC1_20201002	WYNGSP_PC1_20210326	WYNGSP_PC1_20211001	WYNGSP_PC1_20220331	WYNGSP_PC1_20220930
1997-01-01	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
1998-01-01	1.00949	1.00949	1.00949	1.54222	1.54222	1.54222	1.38479	1.38479	1.38479	1.38479	1.19045	1.19045	1.26719	1.26719	1.26719
1999-01-01	5.44637	5.44637	5.44637	5.51987	5.51987	5.51987	5.24310	5.24310	5.24310	5.24310	5.58460	5.58460	5.65693	5.65693	5.65693
2000-01-01	10.19655	10.19655	10.19655	10.00571	10.00571	10.00571	9.51250	9.51250	9.51250	9.51250	9.39739	9.39739	9.39304	9.39304	9.39304
2001-01-01	8.57192	8.57192	8.57192	8.54228	8.54228	8.54228	8.45839	8.45839	8.45839	8.45839	8.72160	8.72160	9.07040	9.07040	9.07040
2002-01-01	2.44032	2.44032	2.44032	2.45340	2.45340	2.45340	2.43774	2.43774	2.43774	2.43774	2.45303	2.45303	2.44437	2.44437	2.44437
2003-01-01	10.29168	10.29168	10.29168	10.06583	10.06583	10.06583	10.00178	10.00178	10.00178	10.00178	9.96412	9.96412	10.58146	10.58146	10.58146
2004-01-01	11.54769	11.54769	11.54769	10.50624	10.50624	10.50624	10.26846	10.26846	10.26846	10.26846	10.26840	10.26840	10.54941	10.54941	10.54941
2005-01-01	17.05547	17.05547	17.05547	16.99480	16.99480	16.99480	17.21202	17.21202	17.21202	17.21202	17.22258	17.22258	17.69956	17.69956	17.69956
2006-01-01	19.10408	19.10408	19.10408	19.01362	19.01362	19.01362	19.23459	19.23459	19.23459	19.23459	19.23899	19.23899	18.72623	18.72623	18.72623
2007-01-01	11.16524	11.23786	11.23786	11.19239	11.19239	11.19239	12.95290	12.95290	12.95290	12.95290	12.81000	12.81000	12.86030	12.86030	12.86030
2008-01-01	18.80291	18.54310	17.74066	18.00391	18.00391	18.00391	16.22266	16.22266	16.22266	16.22266	16.21451	16.21451	15.88193	15.88193	15.88193
2009-01-01	-13.19220	-13.23313	-14.02564	-13.39569	-13.39569	-13.39569	-15.27536	-15.27536	-15.27536	-15.27536	-15.19288	-15.19288	-15.33724	-15.33724	-15.33724
2010-01-01	6.19705	6.31264	5.04918	5.31660	5.31660	5.31660	3.77058	3.77058	3.77058	3.77058	3.76050	3.76050	3.94102	3.94102	3.94102
2011-01-01	7.03333	7.34328	6.35664	6.12741	6.12741	6.12741	5.26587	5.26587	5.26587	5.26587	5.26833	5.26833	5.49539	5.49539	5.49539
2012-01-01	-5.08510	-5.47136	-4.01414	-3.12779	-3.12779	-3.12779	-2.38502	-2.38502	-2.38502	-2.38502	-2.48001	-2.48001	-2.25401	-2.25401	-2.25401
2013-01-01	2.21396	1.90973	1.37312	1.93528	1.90791	1.90791	1.27707	1.27707	1.27707	1.27707	1.31459	1.31459	1.11799	1.11799	1.11799
2014-01-01	5.76325	5.36445	1.03567	2.54277	2.10896	1.34983	1.15563	1.15563	1.31955	1.31955	1.25491	1.25491	2.59813	2.59813	2.59813
2015-01-01			-5.50935	-5.13315	-5.77787	-4.93004	-4.08460	-4.14555	-4.34779	-4.34779	-3.98410	-3.98410	-4.67296	-4.67296	-4.67296
2016-01-01					-3.95027	-3.92410	-4.71321	-4.86141	-5.25218	-5.25218	-5.69641	-5.69641	-6.63051	-6.63051	-6.63051
2017-01-01						6.22544	5.70417	4.78981	4.79375	4.79375	4.38942	4.38942	2.74450	2.74450	3.07060
2018-01-01								4.64024	4.44523	4.44523	6.52515	6.52515	5.88275	5.88275	5.92471
2019-01-01										1.34898	1.80565	1.80565	1.45649	1.45649	0.65430
2020-01-01												-10.33793	-8.27584	-8.27584	-7.85635
2021-01-01														14.58808	14.25748
